Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
2.088980333,0,0xA0,0x00,Write,ACK
2.088980333,0,0xA0,0x00,Write,ACK
2.088980333,0,0xA0,0xAA,Write,ACK
2.088980333,0,0xA0,0x10,Write,ACK
2.088980333,0,0xA0,0x20,Write,ACK
2.088980333,0,0xA0,0x30,Write,ACK
2.088980333,0,0xA0,0x40,Write,ACK
2.088980333,0,0xA0,0x50,Write,ACK
2.088980333,0,0xA0,0x60,Write,ACK
2.088980333,0,0xA0,0x70,Write,ACK
2.088980333,0,0xA0,0x80,Write,ACK
2.088980333,0,0xA0,0x90,Write,ACK
2.088980333,0,0xA0,0xA0,Write,ACK
2.088980333,0,0xA0,0xB0,Write,ACK
2.088980333,0,0xA0,0xC0,Write,ACK
2.088980333,0,0xA0,0xD0,Write,ACK
2.088980333,0,0xA0,0xE0,Write,ACK
2.088980333,0,0xA0,0xF0,Write,ACK
2.088980333,0,0xA0,0xAB,Write,ACK
2.088980333,0,0xA0,0x11,Write,ACK
2.088980333,0,0xA0,0x21,Write,ACK
2.088980333,0,0xA0,0x31,Write,ACK
2.088980333,0,0xA0,0x41,Write,ACK
2.088980333,0,0xA0,0x51,Write,ACK
2.088980333,0,0xA0,0x61,Write,ACK
2.088980333,0,0xA0,0x71,Write,ACK
2.088980333,0,0xA0,0x81,Write,ACK
2.088980333,0,0xA0,0x91,Write,ACK
2.088980333,0,0xA0,0xA1,Write,ACK
2.088980333,0,0xA0,0xB1,Write,ACK
2.088980333,0,0xA0,0xC1,Write,ACK
2.088980333,0,0xA0,0xD1,Write,ACK
2.088980333,0,0xA0,0xE1,Write,ACK
2.088980333,0,0xA0,0xF1,Write,ACK
7.130459833,1,0xA0,0x00,Write,ACK
7.130459833,1,0xA0,0x20,Write,ACK
7.130459833,1,0xA0,0xAB,Write,ACK
7.130459833,1,0xA0,0x10,Write,ACK
7.130459833,1,0xA0,0x20,Write,ACK
7.130459833,1,0xA0,0x30,Write,ACK
7.130459833,1,0xA0,0x40,Write,ACK
7.130459833,1,0xA0,0x50,Write,ACK
7.130459833,1,0xA0,0x60,Write,ACK
7.130459833,1,0xA0,0x70,Write,ACK
7.130459833,1,0xA0,0x80,Write,ACK
7.130459833,1,0xA0,0x90,Write,ACK
7.130459833,1,0xA0,0xA0,Write,ACK
7.130459833,1,0xA0,0xB0,Write,ACK
7.130459833,1,0xA0,0xC0,Write,ACK
7.130459833,1,0xA0,0xD0,Write,ACK
7.130459833,1,0xA0,0xE0,Write,ACK
7.130459833,1,0xA0,0xF0,Write,ACK
7.130459833,1,0xA0,0xAC,Write,ACK
7.130459833,1,0xA0,0x11,Write,ACK
7.130459833,1,0xA0,0x21,Write,ACK
7.130459833,1,0xA0,0x31,Write,ACK
7.130459833,1,0xA0,0x41,Write,ACK
7.130459833,1,0xA0,0x51,Write,ACK
7.130459833,1,0xA0,0x61,Write,ACK
7.130459833,1,0xA0,0x71,Write,ACK
7.130459833,1,0xA0,0x81,Write,ACK
7.130459833,1,0xA0,0x91,Write,ACK
7.130459833,1,0xA0,0xA1,Write,ACK
7.130459833,1,0xA0,0xB1,Write,ACK
7.130459833,1,0xA0,0xC1,Write,ACK
7.130459833,1,0xA0,0xD1,Write,ACK
7.130459833,1,0xA0,0xE1,Write,ACK
7.130459833,1,0xA0,0xF1,Write,ACK
10.17195533,2,0xA0,0x00,Write,ACK
10.17195533,2,0xA0,0x40,Write,ACK
10.17195533,2,0xA0,0xAC,Write,ACK
10.17195533,2,0xA0,0x10,Write,ACK
10.17195533,2,0xA0,0x20,Write,ACK
10.17195533,2,0xA0,0x30,Write,ACK
10.17195533,2,0xA0,0x40,Write,ACK
10.17195533,2,0xA0,0x50,Write,ACK
10.17195533,2,0xA0,0x60,Write,ACK
10.17195533,2,0xA0,0x70,Write,ACK
10.17195533,2,0xA0,0x80,Write,ACK
10.17195533,2,0xA0,0x90,Write,ACK
10.17195533,2,0xA0,0xA0,Write,ACK
10.17195533,2,0xA0,0xB0,Write,ACK
10.17195533,2,0xA0,0xC0,Write,ACK
10.17195533,2,0xA0,0xD0,Write,ACK
10.17195533,2,0xA0,0xE0,Write,ACK
10.17195533,2,0xA0,0xF0,Write,ACK
10.17195533,2,0xA0,0xAD,Write,ACK
10.17195533,2,0xA0,0x11,Write,ACK
10.17195533,2,0xA0,0x21,Write,ACK
10.17195533,2,0xA0,0x31,Write,ACK
10.17195533,2,0xA0,0x41,Write,ACK
10.17195533,2,0xA0,0x51,Write,ACK
10.17195533,2,0xA0,0x61,Write,ACK
10.17195533,2,0xA0,0x71,Write,ACK
10.17195533,2,0xA0,0x81,Write,ACK
10.17195533,2,0xA0,0x91,Write,ACK
10.17195533,2,0xA0,0xA1,Write,ACK
10.17195533,2,0xA0,0xB1,Write,ACK
10.17195533,2,0xA0,0xC1,Write,ACK
10.17195533,2,0xA0,0xD1,Write,ACK
10.17195533,2,0xA0,0xE1,Write,ACK
10.17195533,2,0xA0,0xF1,Write,ACK
14.21344733,3,0xA0,0x00,Write,ACK
14.21347217,3,0xA0,0x60,Write,ACK
14.213497,3,0xA0,0xAD,Write,ACK
14.21352183,3,0xA0,0x10,Write,ACK
14.2135465,3,0xA0,0x20,Write,ACK
14.21357133,3,0xA0,0x30,Write,ACK
14.213596,3,0xA0,0x40,Write,ACK
14.21362083,3,0xA0,0x50,Write,ACK
14.2136455,3,0xA0,0x60,Write,ACK
14.21367033,3,0xA0,0x70,Write,ACK
14.213695,3,0xA0,0x80,Write,ACK
14.21371967,3,0xA0,0x90,Write,ACK
14.2137445,3,0xA0,0xA0,Write,ACK
14.21376933,3,0xA0,0xB0,Write,ACK
14.213794,3,0xA0,0xC0,Write,ACK
14.21381867,3,0xA0,0xD0,Write,ACK
14.2138435,3,0xA0,0xE0,Write,ACK
14.21386817,3,0xA0,0xF0,Write,ACK
14.213893,3,0xA0,0xAE,Write,ACK
14.21391767,3,0xA0,0x11,Write,ACK
14.2139425,3,0xA0,0x21,Write,ACK
14.21396717,3,0xA0,0x31,Write,ACK
14.213992,3,0xA0,0x41,Write,ACK
14.21401667,3,0xA0,0x51,Write,ACK
14.2140415,3,0xA0,0x61,Write,ACK
14.21406617,3,0xA0,0x71,Write,ACK
14.214091,3,0xA0,0x81,Write,ACK
14.21411567,3,0xA0,0x91,Write,ACK
14.2141405,3,0xA0,0xA1,Write,ACK
14.21416517,3,0xA0,0xB1,Write,ACK
14.21419,3,0xA0,0xC1,Write,ACK
14.21421467,3,0xA0,0xD1,Write,ACK
14.21423933,3,0xA0,0xE1,Write,ACK
14.21426417,3,0xA0,0xF1,Write,ACK
14.24407067,4,0xA0,0x00,Write,ACK
14.24409533,4,0xA0,0x00,Write,ACK
14.24956333,5,0xA1,0xAA,Read,ACK
14.24958967,5,0xA1,0x10,Read,ACK
14.24961517,5,0xA1,0x20,Read,ACK
14.2496405,5,0xA1,0x30,Read,ACK
14.249666,5,0xA1,0x40,Read,ACK
14.24969133,5,0xA1,0x50,Read,ACK
14.24971683,5,0xA1,0x60,Read,ACK
14.24974217,5,0xA1,0x70,Read,ACK
14.24976767,5,0xA1,0x80,Read,ACK
14.249793,5,0xA1,0x90,Read,ACK
14.2498185,5,0xA1,0xA0,Read,ACK
14.249844,5,0xA1,0xB0,Read,ACK
14.24986933,5,0xA1,0xC0,Read,ACK
14.24989483,5,0xA1,0xD0,Read,ACK
14.24992017,5,0xA1,0xE0,Read,ACK
14.24994567,5,0xA1,0xF0,Read,ACK
14.249971,5,0xA1,0xAB,Read,ACK
14.2499965,5,0xA1,0x11,Read,ACK
14.25002183,5,0xA1,0x21,Read,ACK
14.25004733,5,0xA1,0x31,Read,ACK
14.25007267,5,0xA1,0x41,Read,ACK
14.25009817,5,0xA1,0x51,Read,ACK
14.2501235,5,0xA1,0x61,Read,ACK
14.250149,5,0xA1,0x71,Read,ACK
14.25017433,5,0xA1,0x81,Read,ACK
14.25019983,5,0xA1,0x91,Read,ACK
14.25022517,5,0xA1,0xA1,Read,ACK
14.25025067,5,0xA1,0xB1,Read,ACK
14.250276,5,0xA1,0xC1,Read,ACK
14.2503015,5,0xA1,0xD1,Read,ACK
14.25032683,5,0xA1,0xE1,Read,ACK
14.25035233,5,0xA1,0xF1,Read,NAK
14.2816105,6,0xA0,0x00,Write,ACK
14.28163517,6,0xA0,0x20,Write,ACK
14.28709367,7,0xA1,0xAB,Read,ACK
14.28712,7,0xA1,0x10,Read,ACK
14.28714533,7,0xA1,0x20,Read,ACK
14.28717083,7,0xA1,0x30,Read,ACK
14.28719617,7,0xA1,0x40,Read,ACK
14.28722167,7,0xA1,0x50,Read,ACK
14.287247,7,0xA1,0x60,Read,ACK
14.2872725,7,0xA1,0x70,Read,ACK
14.28729783,7,0xA1,0x80,Read,ACK
14.28732333,7,0xA1,0x90,Read,ACK
14.28734867,7,0xA1,0xA0,Read,ACK
14.28737417,7,0xA1,0xB0,Read,ACK
14.2873995,7,0xA1,0xC0,Read,ACK
14.287425,7,0xA1,0xD0,Read,ACK
14.28745033,7,0xA1,0xE0,Read,ACK
14.28747567,7,0xA1,0xF0,Read,ACK
14.28750117,7,0xA1,0xAC,Read,ACK
14.2875265,7,0xA1,0x11,Read,ACK
14.287552,7,0xA1,0x21,Read,ACK
14.28757733,7,0xA1,0x31,Read,ACK
14.28760283,7,0xA1,0x41,Read,ACK
14.28762833,7,0xA1,0x51,Read,ACK
14.28765367,7,0xA1,0x61,Read,ACK
14.28767917,7,0xA1,0x71,Read,ACK
14.2877045,7,0xA1,0x81,Read,ACK
14.28773,7,0xA1,0x91,Read,ACK
14.28775533,7,0xA1,0xA1,Read,ACK
14.28778083,7,0xA1,0xB1,Read,ACK
14.28780617,7,0xA1,0xC1,Read,ACK
14.28783167,7,0xA1,0xD1,Read,ACK
14.287857,7,0xA1,0xE1,Read,ACK
14.2878825,7,0xA1,0xF1,Read,NAK
14.32902083,8,0xA0,0x00,Write,ACK
14.3290455,8,0xA0,0x40,Write,ACK
14.3345145,9,0xA1,0xAC,Read,ACK
14.33454067,9,0xA1,0x10,Read,ACK
14.33456617,9,0xA1,0x20,Read,ACK
14.3345915,9,0xA1,0x30,Read,ACK
14.334617,9,0xA1,0x40,Read,ACK
14.33464233,9,0xA1,0x50,Read,ACK
14.33466783,9,0xA1,0x60,Read,ACK
14.33469317,9,0xA1,0x70,Read,ACK
14.33471867,9,0xA1,0x80,Read,ACK
14.334744,9,0xA1,0x90,Read,ACK
14.3347695,9,0xA1,0xA0,Read,ACK
14.33479483,9,0xA1,0xB0,Read,ACK
14.33482033,9,0xA1,0xC0,Read,ACK
14.33484567,9,0xA1,0xD0,Read,ACK
14.33487117,9,0xA1,0xE0,Read,ACK
14.3348965,9,0xA1,0xF0,Read,ACK
14.334922,9,0xA1,0xAD,Read,ACK
14.33494733,9,0xA1,0x11,Read,ACK
14.33497267,9,0xA1,0x21,Read,ACK
14.33499817,9,0xA1,0x31,Read,ACK
14.33502367,9,0xA1,0x41,Read,ACK
14.335049,9,0xA1,0x51,Read,ACK
14.33507433,9,0xA1,0x61,Read,ACK
14.33509983,9,0xA1,0x71,Read,ACK
14.33512517,9,0xA1,0x81,Read,ACK
14.33515067,9,0xA1,0x91,Read,ACK
14.335176,9,0xA1,0xA1,Read,ACK
14.3352015,9,0xA1,0xB1,Read,ACK
14.33522683,9,0xA1,0xC1,Read,ACK
14.33525233,9,0xA1,0xD1,Read,ACK
14.33527767,9,0xA1,0xE1,Read,ACK
14.33530317,9,0xA1,0xF1,Read,NAK
14.3714905,10,0xA0,0x00,Write,ACK
14.37151533,10,0xA0,0x60,Write,ACK
14.376978,11,0xA1,0xAD,Read,ACK
14.37700433,11,0xA1,0x10,Read,ACK
14.37702967,11,0xA1,0x20,Read,ACK
14.37705517,11,0xA1,0x30,Read,ACK
14.3770805,11,0xA1,0x40,Read,ACK
14.377106,11,0xA1,0x50,Read,ACK
14.37713133,11,0xA1,0x60,Read,ACK
14.37715683,11,0xA1,0x70,Read,ACK
14.37718233,11,0xA1,0x80,Read,ACK
14.37720767,11,0xA1,0x90,Read,ACK
14.37723317,11,0xA1,0xA0,Read,ACK
14.3772585,11,0xA1,0xB0,Read,ACK
14.377284,11,0xA1,0xC0,Read,ACK
14.37730933,11,0xA1,0xD0,Read,ACK
14.37733483,11,0xA1,0xE0,Read,ACK
14.37736033,11,0xA1,0xF0,Read,ACK
14.37738567,11,0xA1,0xAE,Read,ACK
14.37741117,11,0xA1,0x11,Read,ACK
14.3774365,11,0xA1,0x21,Read,ACK
14.377462,11,0xA1,0x31,Read,ACK
14.3774905,11,0xA1,0x41,Read,ACK
14.37751583,11,0xA1,0x51,Read,ACK
14.37754133,11,0xA1,0x61,Read,ACK
14.37756667,11,0xA1,0x71,Read,ACK
14.37759217,11,0xA1,0x81,Read,ACK
14.3776175,11,0xA1,0x91,Read,ACK
14.377643,11,0xA1,0xA1,Read,ACK
14.37766833,11,0xA1,0xB1,Read,ACK
14.37769383,11,0xA1,0xC1,Read,ACK
14.37771917,11,0xA1,0xD1,Read,ACK
14.37774467,11,0xA1,0xE1,Read,ACK
14.37777,11,0xA1,0xF1,Read,NAK
